gene	biotype
FUT6	protein_coding
FUT7	protein_coding
FUT8	protein_coding
FUT9	protein_coding
FUZ	protein_coding
FXN	protein_coding
FXR1	protein_coding
FXR2	protein_coding
FXYD1	protein_coding
FXYD2	protein_coding
FXYD3	protein_coding
FXYD4	protein_coding
FXYD5	protein_coding
FXYD6-FXYD2	protein_coding
FXYD6	protein_coding
FXYD7	protein_coding
FYB	protein_coding
FYCO1	protein_coding
FYN	protein_coding
FYTTD1	protein_coding
FZD10-AS1	processed_transcript
FZD10	protein_coding
FZD1	protein_coding
FZD2	protein_coding
FZD3	protein_coding
FZD4	protein_coding
FZD5	protein_coding
FZD6	protein_coding
FZD7	protein_coding
FZD8	protein_coding
FZD9	protein_coding
FZR1	protein_coding
G0S2	protein_coding
G2E3	protein_coding
G3BP1	protein_coding
G3BP2	protein_coding
G6PC2	protein_coding
G6PC3	protein_coding
G6PC	protein_coding
G6PD	protein_coding
GAA	protein_coding
GAB1	protein_coding
GAB2	protein_coding
GAB3	protein_coding
GAB4	protein_coding
GABARAPL1	protein_coding
GABARAPL2	protein_coding
GABARAPL3	protein_coding
GABARAP	protein_coding
GABBR1	protein_coding
GABBR2	protein_coding
GABPA	protein_coding
GABPB1-AS1	processed_transcript
GABPB1	protein_coding
GABPB2	protein_coding
GABRA1	protein_coding
GABRA2	protein_coding
GABRA3	protein_coding
GABRA4	protein_coding
GABRA5	protein_coding
GABRA6	protein_coding
GABRB1	protein_coding
GABRB2	protein_coding
GABRB3	protein_coding
GABRD	protein_coding
GABRE	protein_coding
GABRG1	protein_coding
GABRG2	protein_coding
GABRG3	protein_coding
GABRP	protein_coding
GABRQ	protein_coding
GABRR1	protein_coding
GABRR2	protein_coding
GABRR3	polymorphic_pseudogene
GACAT1	lincRNA
GAD1	protein_coding
GAD2	protein_coding
GADD45A	protein_coding
GADD45B	protein_coding
GADD45GIP1	protein_coding
GADD45G	protein_coding
GADL1	protein_coding
GAGE10	protein_coding
GAGE12B	protein_coding
GAGE12C	protein_coding
GAGE12D	protein_coding
GAGE12E	protein_coding
GAGE12F	protein_coding
GAGE12G	protein_coding
GAGE12H	protein_coding
GAGE12I	protein_coding
GAGE12J	protein_coding
GAGE13	protein_coding
GAGE1	protein_coding
GAGE2A	protein_coding
GAGE2B	protein_coding
GAGE2C	protein_coding
GAGE2D	protein_coding
GAGE2E	protein_coding
GAK	protein_coding
GAL3ST1	protein_coding
GAL3ST2	protein_coding
GAL3ST3	protein_coding
GAL3ST4	protein_coding
GALC	protein_coding
GALE	protein_coding
GALK1	protein_coding
GALK2	protein_coding
GALM	protein_coding
GALNS	protein_coding
GALNT10	protein_coding
GALNT11	protein_coding
GALNT12	protein_coding
GALNT13	protein_coding
GALNT14	protein_coding
GALNT15	protein_coding
GALNT16	protein_coding
GALNT18	protein_coding
GALNT1	protein_coding
GALNT2	protein_coding
GALNT3	protein_coding
GALNT4	protein_coding
GALNT5	protein_coding
GALNT6	protein_coding
GALNT7	protein_coding
GALNT8	protein_coding
GALNT9	protein_coding
GALNTL5	protein_coding
GALNTL6	protein_coding
GALP	protein_coding
GAL	protein_coding
GALR1	protein_coding
GALR2	protein_coding
GALR3	protein_coding
GALT	protein_coding
GAMT	protein_coding
GANAB	protein_coding
GANC	protein_coding
GAN	protein_coding
GAP43	protein_coding
GAPDH	protein_coding
GAPDHS	protein_coding
GAPT	protein_coding
GAPVD1	protein_coding
GAR1	protein_coding
GAREML	protein_coding
GAREM	protein_coding
GARNL3	protein_coding
GARS	protein_coding
GART	protein_coding
GAS1	protein_coding
GAS2L1	protein_coding
GAS2L2	protein_coding
GAS2L3	protein_coding
GAS2	protein_coding
GAS5-AS1	antisense
GAS5	processed_transcript
GAS6-AS1	antisense
GAS6-AS2	lincRNA
GAS6	protein_coding
GAS7	protein_coding
GAS8	protein_coding
GAST	protein_coding
GATA1	protein_coding
GATA2	protein_coding
GATA3-AS1	lincRNA
GATA3	protein_coding
GATA4	protein_coding
GATA5	protein_coding
GATA6-AS1	lincRNA
GATA6	protein_coding
GATAD1	protein_coding
GATAD2A	protein_coding
GATAD2B	protein_coding
GATC	protein_coding
GATM	protein_coding
GATSL1	protein_coding
GATSL2	protein_coding
GATSL3	protein_coding
GATS	protein_coding
GBA2	protein_coding
GBA3	polymorphic_pseudogene
GBAP1	pseudogene
GBA	protein_coding
GBAS	protein_coding
GBE1	protein_coding
GBF1	protein_coding
GBGT1	protein_coding
GBP1P1	pseudogene
GBP1	protein_coding
GBP2	protein_coding
GBP3	protein_coding
GBP4	protein_coding
GBP5	protein_coding
GBP6	protein_coding
GBP7	protein_coding
GBX1	protein_coding
GBX2	protein_coding
GCA	protein_coding
GCAT	protein_coding
GCC1	protein_coding
GCC2	protein_coding
GCDH	protein_coding
GCFC2	protein_coding
GCG	protein_coding
GCGR	protein_coding
GCH1	protein_coding
GCHFR	protein_coding
GCK	protein_coding
GCKR	protein_coding
GCLC	protein_coding
GCLM	protein_coding
GCM1	protein_coding
GCM2	protein_coding
GCN1L1	protein_coding
GCNT1	protein_coding
GCNT2	protein_coding
GCNT3	protein_coding
GCNT4	protein_coding
GCNT6	protein_coding
GCNT7	protein_coding
GCOM1	protein_coding
GC	protein_coding
GCSAML-AS1	antisense
GCSAML	protein_coding
GCSAM	protein_coding
GCSH	protein_coding
GDAP1L1	protein_coding
GDAP1	protein_coding
GDAP2	protein_coding
GDA	protein_coding
GDE1	protein_coding
GDF10	protein_coding
GDF11	protein_coding
GDF15	protein_coding
GDF1	protein_coding
GDF2	protein_coding
GDF3	protein_coding
GDF5OS	protein_coding
GDF5	protein_coding
GDF6	protein_coding
GDF7	protein_coding
GDF9	protein_coding
GDI1	protein_coding
GDI2	protein_coding
GDNF-AS1	lincRNA
GDNF	protein_coding
GDPD1	protein_coding
GDPD2	protein_coding
GDPD3	protein_coding
GDPD4	protein_coding
GDPD5	protein_coding
GDPGP1	protein_coding
GEMIN2	protein_coding
GEMIN4	protein_coding
GEMIN5	protein_coding
GEMIN6	protein_coding
GEMIN7	protein_coding
GEMIN8	protein_coding
GEM	protein_coding
GEN1	protein_coding
GET4	protein_coding
GFAP	protein_coding
GFER	protein_coding
GFI1B	protein_coding
GFI1	protein_coding
GFM1	protein_coding
GFM2	protein_coding
GFOD1-AS1	antisense
GFOD1	protein_coding
GFOD2	protein_coding
GFPT1	protein_coding
GFPT2	protein_coding
GFRA1	protein_coding
GFRA2	protein_coding
GFRA3	protein_coding
GFRA4	protein_coding
GFRAL	protein_coding
GGA1	protein_coding
GGA2	protein_coding
GGA3	protein_coding
GGACT	protein_coding
GGCT	protein_coding
GGCX	protein_coding
GGH	protein_coding
GGNBP1	protein_coding
GGNBP2	protein_coding
GGN	protein_coding
GGPS1	protein_coding
GGT1	protein_coding
GGT2	protein_coding
GGT3P	pseudogene
GGT5	protein_coding
GGT6	protein_coding
GGT7	protein_coding
GGTA1P	pseudogene
GGTLC1	protein_coding
GGTLC2	protein_coding
GGTLC3	protein_coding
GH1	protein_coding
GH2	protein_coding
GHc-362H12.3	sense_intronic
GHDC	protein_coding
GHITM	protein_coding
GHRH	protein_coding
GHRHR	protein_coding
GHRLOS	antisense
GHRL	protein_coding
GHR	protein_coding
GHSR	protein_coding
GID4	protein_coding
GID8	protein_coding
GIF	protein_coding
GIGYF1	protein_coding
GIGYF2	protein_coding
GIMAP1	protein_coding
GIMAP2	protein_coding
GIMAP4	protein_coding
GIMAP5	protein_coding
GIMAP6	protein_coding
GIMAP7	protein_coding
GIMAP8	protein_coding
GIMD1	lincRNA
GIN1	protein_coding
GINM1	protein_coding
GINS1	protein_coding
GINS2	protein_coding
GINS3	protein_coding
GINS4	protein_coding
GIPC1	protein_coding
GIPC2	protein_coding
GIPC3	protein_coding
GIP	protein_coding
GIPR	protein_coding
GIT1	protein_coding
GIT2	protein_coding
GJA10	protein_coding
GJA1	protein_coding
GJA3	protein_coding
GJA4	protein_coding
GJA5	protein_coding
GJA8	protein_coding
GJA9	protein_coding
GJB1	protein_coding
GJB2	protein_coding
GJB3	protein_coding
GJB4	protein_coding
GJB5	protein_coding
GJB6	protein_coding
GJB7	protein_coding
GJC1	protein_coding
GJC2	protein_coding
GJC3	protein_coding
GJD2	protein_coding
GJD3	protein_coding
GJD4	protein_coding
GJE1	protein_coding
GK2	protein_coding
GK5	protein_coding
GKAP1	protein_coding
GK-AS1	antisense
GK-IT1	sense_intronic
GKN1	protein_coding
GKN2	protein_coding
GK	protein_coding
GLA	protein_coding
GLB1L2	protein_coding
GLB1L3	protein_coding
GLB1L	protein_coding
GLB1	protein_coding
GLCCI1	protein_coding
GLCE	protein_coding
GLDC	protein_coding
GLDN	protein_coding
GLE1	protein_coding
GLG1	protein_coding
GLI1	protein_coding
GLI2	protein_coding
GLI3	protein_coding
GLI4	protein_coding
GLIPR1L1	protein_coding
GLIPR1L2	protein_coding
GLIPR1	protein_coding
GLIPR2	protein_coding
GLIS1	protein_coding
GLIS2	protein_coding
GLIS3-AS1	antisense
GLIS3	protein_coding
GLMN	protein_coding
GLO1	protein_coding
GLOD4	protein_coding
GLOD5	protein_coding
GLP1R	protein_coding
GLP2R	protein_coding
GLRA1	protein_coding
GLRA2	protein_coding
GLRA3	protein_coding
GLRA4	protein_coding
GLRB	protein_coding
GLRX2	protein_coding
GLRX3	protein_coding
GLRX5	protein_coding
GLRX	protein_coding
GLS2	protein_coding
GLS	protein_coding
GLT1D1	protein_coding
GLT6D1	protein_coding
GLT8D1	protein_coding
GLT8D2	protein_coding
GLTPD1	protein_coding
GLTPD2	protein_coding
GLTP	protein_coding
GLTSCR1L	protein_coding
GLTSCR1	protein_coding
GLTSCR2	protein_coding
GLUD1P2	pseudogene
GLUD1P3	pseudogene
GLUD1	protein_coding
GLUD2	protein_coding
GLUL	protein_coding
GLYATL1P2	pseudogene
GLYATL1	protein_coding
GLYATL2	protein_coding
GLYATL3	protein_coding
GLYAT	protein_coding
GLYCAM1	pseudogene
GLYCTK-AS1	processed_transcript
GLYCTK	protein_coding
GLYR1	protein_coding
GM2A	protein_coding
GMCL1	protein_coding
GMDS-AS1	lincRNA
GMDS	protein_coding
GMEB1	protein_coding
GMEB2	protein_coding
GMFB	protein_coding
GMFG	protein_coding
GMIP	protein_coding
GML	protein_coding
GMNC	protein_coding
GMNN	protein_coding
GMPPA	protein_coding
GMPPB	protein_coding
GMPR2	protein_coding
GMPR	protein_coding
GMPS	protein_coding
GNA11	protein_coding
GNA12	protein_coding
GNA13	protein_coding
GNA14	protein_coding
GNA15	protein_coding
GNAI1	protein_coding
GNAI2	protein_coding
GNAI3	protein_coding
GNAL	protein_coding
GNAO1	protein_coding
GNAQ	protein_coding
GNAS-AS1	antisense
GNAS	protein_coding
GNAT1	protein_coding
GNAT2	protein_coding
GNAT3	protein_coding
GNAZ	protein_coding
GNB1L	protein_coding
GNB1	protein_coding
GNB2L1	protein_coding
GNB2	protein_coding
GNB3	protein_coding
GNB4	protein_coding
GNB5	protein_coding
GNE	protein_coding
GNG10	protein_coding
GNG11	protein_coding
GNG12-AS1	antisense
GNG12	protein_coding
GNG13	protein_coding
GNG2	protein_coding
GNG3	protein_coding
GNG4	protein_coding
GNG5P2	protein_coding
GNG5	protein_coding
GNG7	protein_coding
GNG8	protein_coding
GNGT1	protein_coding
GNGT2	protein_coding
GNL1	protein_coding
GNL2	protein_coding
GNL3L	protein_coding
GNL3	protein_coding
GNLY	protein_coding
GNMT	protein_coding
GNPAT	protein_coding
GNPDA1	protein_coding
GNPDA2	protein_coding
GNPNAT1	protein_coding
GNPTAB	protein_coding
GNPTG	protein_coding
GNRH1	protein_coding
GNRH2	protein_coding
GNRHR2	pseudogene
GNRHR	protein_coding
GNS	protein_coding
GOLGA1	protein_coding
GOLGA2B	pseudogene
GOLGA2P2Y	processed_transcript
GOLGA2	protein_coding
GOLGA3	protein_coding
GOLGA4	protein_coding
GOLGA5	protein_coding
GOLGA6A	protein_coding
GOLGA6B	protein_coding
GOLGA6C	protein_coding
GOLGA6D	protein_coding
GOLGA6L10	pseudogene
GOLGA6L1	protein_coding
GOLGA6L2	protein_coding
GOLGA6L4	protein_coding
GOLGA6L5	pseudogene
GOLGA6L6	protein_coding
GOLGA6L7P	pseudogene
GOLGA6L9	protein_coding
GOLGA7B	protein_coding
GOLGA7	protein_coding
GOLGA8A	protein_coding
GOLGA8B	protein_coding
GOLGA8DP	pseudogene
GOLGA8EP	pseudogene
GOLGA8F	protein_coding
GOLGA8G	protein_coding
GOLGA8H	protein_coding
GOLGA8I	protein_coding
GOLGA8J	protein_coding
GOLGA8K	protein_coding
GOLGA8M	protein_coding
GOLGA8N	protein_coding
GOLGA8O	protein_coding
GOLGA8Q	protein_coding
GOLGA8R	protein_coding
GOLGA8S	protein_coding
GOLGA8T	protein_coding
GOLGB1	protein_coding
GOLIM4	protein_coding
GOLM1	protein_coding
GOLPH3L	protein_coding
GOLPH3	protein_coding
GOLT1A	protein_coding
GOLT1B	protein_coding
GON4L	protein_coding
GOPC	protein_coding
GORAB	protein_coding
GORASP1	protein_coding
GORASP2	protein_coding
GOSR1	protein_coding
GOSR2	protein_coding
GOT1L1	protein_coding
GOT1	protein_coding
GOT2	protein_coding
GP1BA	protein_coding
GP1BB	protein_coding
GP2	protein_coding
GP5	protein_coding
GP6	protein_coding
GP9	protein_coding
GPA33	protein_coding
GPAA1	protein_coding
GPALPP1	protein_coding
GPAM	protein_coding
GPANK1	protein_coding
GPAT2	protein_coding
GPATCH11	protein_coding
GPATCH1	protein_coding
GPATCH2L	protein_coding
GPATCH2	protein_coding
GPATCH3	protein_coding
GPATCH4	protein_coding
GPATCH8	protein_coding
GPBAR1	protein_coding
GPBP1L1	protein_coding
GPBP1	protein_coding
GPC1	protein_coding
GPC2	protein_coding
GPC3	protein_coding
GPC4	protein_coding
GPC5-AS1	antisense
GPC5-AS2	antisense
GPC5-IT1	sense_intronic
GPC5	protein_coding
GPC6-AS1	antisense
GPC6-AS2	antisense
GPC6	protein_coding
GPCPD1	protein_coding
GPD1L	protein_coding
GPD1	protein_coding
GPD2	protein_coding
GPER1	protein_coding
GPHA2	protein_coding
GPHB5	processed_transcript
GPHN	protein_coding
GPIHBP1	protein_coding
GPI	protein_coding
GPKOW	protein_coding
GPLD1	protein_coding
GPM6A	protein_coding
GPM6B	protein_coding
GPN1	protein_coding
GPN2	protein_coding
GPN3	protein_coding
GPNMB	protein_coding
GPR101	protein_coding
GPR107	protein_coding
GPR108	protein_coding
GPR110	protein_coding
GPR111	protein_coding
GPR112	protein_coding
GPR113	protein_coding
GPR114	protein_coding
GPR115	protein_coding
GPR116	protein_coding
GPR119	protein_coding
GPR123	protein_coding
GPR124	protein_coding
GPR125	protein_coding
GPR126	protein_coding
GPR128	protein_coding
GPR12	protein_coding
GPR132	protein_coding
GPR133	protein_coding
GPR135	protein_coding
GPR137B	protein_coding
GPR137C	protein_coding
GPR137	protein_coding
GPR139	protein_coding
GPR141	protein_coding
GPR142	protein_coding
GPR143	protein_coding
GPR144	protein_coding
GPR146	protein_coding
GPR148	protein_coding
GPR149	protein_coding
GPR150	protein_coding
GPR151	protein_coding
GPR152	protein_coding
GPR153	protein_coding
GPR155	protein_coding
GPR156	protein_coding
GPR157	protein_coding
GPR158-AS1	antisense
GPR158	protein_coding
GPR15	protein_coding
GPR160	protein_coding
GPR161	protein_coding
GPR162	protein_coding
GPR171	protein_coding
GPR173	protein_coding
GPR174	protein_coding
GPR176	protein_coding
GPR179	protein_coding
GPR17	protein_coding
GPR180	protein_coding
GPR182	protein_coding
GPR183	protein_coding
GPR18	protein_coding
GPR19	protein_coding
GPR1	protein_coding
GPR20	protein_coding
GPR21	protein_coding
GPR22	protein_coding
GPR25	protein_coding
GPR26	protein_coding
GPR27	protein_coding
GPR31	protein_coding
GPR32	protein_coding
GPR33	polymorphic_pseudogene
GPR34	protein_coding
GPR35	protein_coding
GPR37L1	protein_coding
GPR37	protein_coding
GPR39	protein_coding
GPR3	protein_coding
GPR42	protein_coding
GPR45	protein_coding
GPR4	protein_coding
GPR50-AS1	antisense
GPR50	protein_coding
GPR52	protein_coding
GPR55	protein_coding
GPR56	protein_coding
GPR61	protein_coding
GPR62	protein_coding
GPR63	protein_coding
GPR64	protein_coding
GPR65	protein_coding
GPR68	protein_coding
GPR6	protein_coding
GPR75-ASB3	protein_coding
GPR75	protein_coding
GPR78	protein_coding
GPR82	protein_coding
GPR83	protein_coding
GPR84	protein_coding
GPR85	protein_coding
GPR87	protein_coding
GPR88	protein_coding
GPR89A	protein_coding
GPR89B	protein_coding
GPR89C	protein_coding
GPR97	protein_coding
GPR98	protein_coding
GPRASP1	protein_coding
GPRASP2	protein_coding
GPRC5A	protein_coding
GPRC5B	protein_coding
GPRC5C	protein_coding
GPRC5D	protein_coding
GPRC6A	protein_coding
GPRIN1	protein_coding
GPRIN2	protein_coding
GPRIN3	protein_coding
GPS1	protein_coding
GPS2	protein_coding
GPSM1	protein_coding
GPSM2	protein_coding
GPSM3	protein_coding
GPT2	protein_coding
GPT	protein_coding
GPX1	protein_coding
GPX2	protein_coding
GPX3	protein_coding
GPX4	protein_coding
GPX5	protein_coding
GPX6	protein_coding
GPX7	protein_coding
GPX8	protein_coding
GRAMD1A	protein_coding
GRAMD1B	protein_coding
GRAMD1C	protein_coding
GRAMD2	protein_coding
GRAMD3	protein_coding
GRAMD4	protein_coding
GRAP2	protein_coding
GRAPL	protein_coding
GRAP	protein_coding
GRASP	protein_coding
GRB10	protein_coding
GRB14	protein_coding
GRB2	protein_coding
GRB7	protein_coding
GREB1L	protein_coding
GREB1	protein_coding
GREM1	protein_coding
GREM2	protein_coding
GRHL1	protein_coding
GRHL2	protein_coding
GRHL3	protein_coding
GRHPR	protein_coding
GRIA1	protein_coding
GRIA2	protein_coding
GRIA3	protein_coding
GRIA4	protein_coding
GRID1	protein_coding
GRID2IP	protein_coding
GRID2	protein_coding
GRIFIN	processed_transcript
GRIK1-AS1	antisense
GRIK1-AS2	protein_coding
GRIK1	protein_coding
GRIK2	protein_coding
GRIK3	protein_coding
GRIK4	protein_coding
GRIK5	protein_coding
GRIN1	protein_coding
GRIN2A	protein_coding
GRIN2B	protein_coding
GRIN2C	protein_coding
GRIN2D	protein_coding
GRIN3A	protein_coding
GRIN3B	protein_coding
GRINA	protein_coding
GRIP1	protein_coding
GRIP2	processed_transcript
GRIPAP1	protein_coding
GRK1	protein_coding
GRK4	protein_coding
GRK5	protein_coding
GRK6	protein_coding
GRK7	protein_coding
GRM1	protein_coding
GRM2	protein_coding
GRM3	protein_coding
GRM4	protein_coding
GRM5-AS1	antisense
GRM5	protein_coding
GRM6	protein_coding
GRM7-AS1	antisense
GRM7-AS2	antisense
GRM7-AS3	lincRNA
GRM7	protein_coding
GRM8	protein_coding
GRN	protein_coding
GRPEL1	protein_coding
GRPEL2-AS1	antisense
GRPEL2	protein_coding
GRP	protein_coding
GRPR	protein_coding
GRSF1	protein_coding
GRTP1-AS1	antisense
GRTP1	protein_coding
GRWD1	protein_coding
GRXCR1	protein_coding
GRXCR2	protein_coding
GS1-114I9.1	antisense
GS1-115G20.1	sense_intronic
GS1-120K12.4	lincRNA
GS1-122H1.1	lincRNA
GS1-122H1.2	lincRNA
GS1-124K5.11	lincRNA
GS1-124K5.2	pseudogene
GS1-124K5.3	lincRNA
GS1-124K5.4	lincRNA
GS1-166A23.1	lincRNA
GS1-166A23.2	lincRNA
GS1-174L6.4	antisense
GS1-179L18.1	lincRNA
GS1-18A18.1	sense_overlapping
GS1-18A18.2	lincRNA
GS1-204I12.1	lincRNA
GS1-204I12.4	lincRNA
GS1-21A4.1	sense_intronic
GS1-24F4.2	lincRNA
GS1-24F4.3	antisense
GS1-251I9.2	processed_transcript
GS1-251I9.3	antisense
GS1-251I9.4	antisense
GS1-256O22.5	antisense
GS1-259H13.10	protein_coding
GS1-259H13.2	lincRNA
GS1-278J22.1	lincRNA
GS1-278J22.2	lincRNA
GS1-279B7.1	lincRNA
GS1-279B7.2	lincRNA
GS1-293C5.1	antisense
GS1-304P7.3	lincRNA
GS1-358P8.4	sense_overlapping
GS1-393G12.12	antisense
GS1-393G12.14	antisense
GS1-39E22.1	lincRNA
GS1-39E22.2	processed_transcript
GS1-410F4.4	lincRNA
GS1-421I3.2	lincRNA
GS1-421I3.4	lincRNA
GS1-433O24.1	lincRNA
GS1-519E5.1	lincRNA
GS1-542M4.4	lincRNA
GS1-57L11.1	lincRNA
GS1-594A7.3	antisense
GS1-5L10.1	antisense
GS1-600G8.3	antisense
GS1-600G8.5	lincRNA
GS1-72M22.1	antisense
GSAP	protein_coding
GSC2	protein_coding
GSC	protein_coding
GSDMA	protein_coding
GSDMB	protein_coding
GSDMC	protein_coding
GSDMD	protein_coding
GSE1	protein_coding
GSG1L	protein_coding
GSG1	protein_coding
GSG2	protein_coding
GSK3A	protein_coding
GSK3B	protein_coding
GSKIP	protein_coding
GSN-AS1	antisense
GSN	protein_coding
GSPT1	protein_coding
GSPT2	protein_coding
GSR	protein_coding
GSS	protein_coding
GSTA1	protein_coding
GSTA2	protein_coding
GSTA3	protein_coding
GSTA4	protein_coding
GSTA5	protein_coding
GSTCD	protein_coding
GSTK1	protein_coding
GSTM1	protein_coding
GSTM2	protein_coding
GSTM3	protein_coding
GSTM4	protein_coding
GSTM5	protein_coding
GSTO1	protein_coding
GSTO2	protein_coding
GSTP1	protein_coding
GSTT1	protein_coding
GSTT2B	protein_coding
GSTT2	protein_coding
GSTTP2	pseudogene
GSTZ1	protein_coding
GSX1	protein_coding
GSX2	protein_coding
GTDC1	protein_coding
GTF2A1L	protein_coding
GTF2A1	protein_coding
GTF2A2	protein_coding
GTF2B	protein_coding
GTF2E1	protein_coding
GTF2E2	protein_coding
GTF2F1	protein_coding
GTF2F2	protein_coding
GTF2H1	protein_coding
GTF2H2B	pseudogene
GTF2H2C	protein_coding
GTF2H2	protein_coding
GTF2H3	protein_coding
GTF2H4	protein_coding
GTF2H5	protein_coding
GTF2I	protein_coding
GTF2IRD1P1	pseudogene
GTF2IRD1	protein_coding
GTF2IRD2B	protein_coding
GTF2IRD2P1	pseudogene
GTF2IRD2	protein_coding
GTF3A	protein_coding
GTF3C1	protein_coding
GTF3C2	protein_coding
GTF3C3	protein_coding
GTF3C4	protein_coding
GTF3C5	protein_coding
GTF3C6	protein_coding
GTPBP10	protein_coding
GTPBP1	protein_coding
GTPBP2	protein_coding
GTPBP3	protein_coding
GTPBP4	protein_coding
GTPBP6	protein_coding
GTPBP8	protein_coding
GTSCR1	protein_coding
GTSE1	protein_coding
GTSF1L	protein_coding
GTSF1	protein_coding
GUCA1A	protein_coding
GUCA1B	protein_coding
GUCA1C	protein_coding
GUCA2A	protein_coding
GUCA2B	protein_coding
GUCD1	protein_coding
GUCY1A2	protein_coding
GUCY1A3	protein_coding
GUCY1B2	pseudogene
GUCY1B3	protein_coding
GUCY2C	protein_coding
GUCY2D	protein_coding
GUCY2EP	pseudogene
GUCY2F	protein_coding
GUCY2GP	pseudogene
GUF1	protein_coding
GUK1	protein_coding
GULP1	protein_coding
GUSBP11	processed_transcript
GUSBP1	pseudogene
GUSBP2	pseudogene
GUSBP3	pseudogene
GUSBP5	pseudogene
GUSBP6	pseudogene
GUSB	protein_coding
GVINP1	pseudogene
GVQW1	protein_coding
GXYLT1	protein_coding
GXYLT2	protein_coding
GYG1	protein_coding
GYG2-AS1	antisense
GYG2P1	pseudogene
GYG2	protein_coding
GYLTL1B	protein_coding
GYPA	protein_coding
GYPB	protein_coding
GYPC	protein_coding
GYPE	protein_coding
GYS1	protein_coding
GYS2	protein_coding
GZF1	protein_coding
GZMA	protein_coding
GZMB	protein_coding
GZMH	protein_coding
GZMK	protein_coding
GZMM	protein_coding
H19	processed_transcript
H1F0	protein_coding
H1FNT	protein_coding
H1FOO	protein_coding
H1FX-AS1	antisense
H1FX	protein_coding
H2AFB1	protein_coding
H2AFB2	protein_coding
H2AFB3	protein_coding
H2AFJ	protein_coding
H2AFV	protein_coding
H2AFX	protein_coding
H2AFY2	protein_coding
H2AFY	protein_coding
H2AFZ	protein_coding
H2BFM	protein_coding
H2BFWT	protein_coding
H3F3A	protein_coding
H3F3B	protein_coding
H3F3C	protein_coding
H6PD	protein_coding
HAAO	protein_coding
HABP2	protein_coding
HABP4	protein_coding
HACE1	protein_coding
HACL1	protein_coding
HADHA	protein_coding
HADHB	protein_coding
HADH	protein_coding
HAGHL	protein_coding
HAGH	protein_coding
HAL	protein_coding
HAMP	protein_coding
HAND1	protein_coding
HAND2-AS1	antisense
HAND2	protein_coding
HAO1	protein_coding
HAO2-IT1	sense_intronic
HAO2	protein_coding
HAP1	protein_coding
HAPLN1	protein_coding
HAPLN2	protein_coding
HAPLN3	protein_coding
HAPLN4	protein_coding
HAR1A	lincRNA
HAR1B	lincRNA
HARBI1	protein_coding
HARS2	protein_coding
HARS	protein_coding
HAS1	protein_coding
HAS2-AS1	antisense
HAS2	protein_coding
HAS3	protein_coding
HAT1	protein_coding
HAUS1	protein_coding
HAUS2	protein_coding
HAUS3	protein_coding
HAUS4	protein_coding
HAUS5	protein_coding
HAUS6	protein_coding
HAUS7	protein_coding
HAUS8	protein_coding
HAVCR1	protein_coding
HAVCR2	protein_coding
HAX1	protein_coding
HBA1	protein_coding
HBA2	protein_coding
HBBP1	pseudogene
HBB	protein_coding
HBCBP	protein_coding
HBD	protein_coding
HBE1	protein_coding
HBEGF	protein_coding
HBG1	protein_coding
HBG2	protein_coding
HBM	protein_coding
HBP1	protein_coding
HBQ1	protein_coding
HBS1L	protein_coding
HBZ	protein_coding
HCAR1	protein_coding
HCAR2	protein_coding
HCAR3	protein_coding
HCCAT3	antisense
HCCAT5	lincRNA
HCCS	protein_coding
HCFC1-AS1	antisense
HCFC1	protein_coding
HCFC1R1	protein_coding
HCFC2	protein_coding
HCG11	lincRNA
HCG14	processed_transcript
HCG15	processed_transcript
HCG16	processed_transcript
HCG17	processed_transcript
HCG18	processed_transcript
HCG20	processed_transcript
HCG21	processed_transcript
HCG22	processed_transcript
HCG23	processed_transcript
HCG24	processed_transcript
HCG25	processed_transcript
HCG27	processed_transcript
HCG9	processed_transcript
HCK	protein_coding
HCLS1	protein_coding
HCN1	protein_coding
HCN2	protein_coding
HCN3	protein_coding
HCN4	protein_coding
HCP5	processed_transcript
HCRT	protein_coding
HCRTR1	protein_coding
HCRTR2	protein_coding
HCST	protein_coding
HDAC10	protein_coding
HDAC11-AS1	antisense
HDAC11	protein_coding
HDAC1P2	pseudogene
HDAC1	protein_coding
HDAC2	protein_coding
HDAC3	protein_coding
HDAC4	protein_coding
HDAC5	protein_coding
HDAC6	protein_coding
HDAC7	protein_coding
HDAC8	protein_coding
HDAC9	protein_coding
HDC	protein_coding
HDDC2	protein_coding
HDDC3	protein_coding
HDGFL1	protein_coding
HDGF	protein_coding
HDGFRP2	protein_coding
HDGFRP3	protein_coding
HDHD1	protein_coding
HDHD2	protein_coding
HDHD3	protein_coding
HDLBP	protein_coding
HDX	protein_coding
HEATR1	protein_coding
HEATR2	protein_coding
HEATR3	protein_coding
HEATR4	protein_coding
HEATR5A	protein_coding
HEATR5B	protein_coding
HEATR6	protein_coding
HEBP1	protein_coding
HEBP2	protein_coding
HECA	protein_coding
HECTD1	protein_coding
HECTD2	protein_coding
HECTD3	protein_coding
HECTD4	protein_coding
HECW1-IT1	sense_intronic
HECW1	protein_coding
HECW2	protein_coding
HEG1	protein_coding
HELB	protein_coding
HELLS	protein_coding
HELQ	protein_coding
HELT	protein_coding
HELZ2	protein_coding
HELZ	protein_coding
HEMGN	protein_coding
HEMK1	protein_coding
HENMT1	protein_coding
HEPACAM2	protein_coding
HEPACAM	protein_coding
HEPHL1	protein_coding
